Kommunkod,Lanskod,Folkmangd,Area,Landareal,Sjo,Hav,Beftathet
1440,14,28644,332,317,15,0,90
1489,14,39500,551,472,79,0,84
0764,07,19546,1074,974,100,0,20
0604,06,6521,554,518,36,0,13
1984,19,13788,419,325,6,0,42
2506,25,2892,14494,12558,1937,0,0
2505,25,6437,6126,5656,471,0,1
1784,17,25815,1956,1649,307,0,16
1882,18,11141,1020,816,61,0,14
2084,20,22540,669,613,56,0,37
1460,14,9587,1059,883,176,0,11
2326,23,7064,6145,5710,435,0,1
2403,24,2462,1364,1307,57,0,2
1260,12,14963,116,115,0,0,130
2582,25,27911,4285,4008,277,0,7
1443,14,8746,282,263,19,0,33
2183,21,26562,1977,1814,163,0,15
0885,08,10681,3654,678,4,2973,16
2081,20,51006,636,584,52,0,87
1490,14,108083,968,910,58,0,119
0127,01,89347,222,194,11,13,460
0560,05,5327,604,526,78,0,10
1272,12,12479,197,162,23,12,77
2305,23,6483,3783,3408,375,0,2
1231,12,17399,19,19,0,0,921
1278,12,14437,889,217,1,664,66
1438,14,4774,825,724,101,0,7
0162,01,32430,33,26,0,6,1228
1862,18,9563,434,384,50,0,25
2425,24,2765,2940,2765,175,0,1
1730,17,8528,895,820,75,0,10
0125,01,26912,385,217,1,0,124
0686,06,16738,873,799,74,0,21
0862,08,9054,719,690,29,0,13
0381,03,41712,1324,1178,5,0,35
0484,04,101790,1250,1100,23,0,93
1285,12,32365,425,419,6,0,77
1445,14,5581,236,235,1,0,24
1982,19,13227,310,269,41,0,49
1382,13,42832,1826,1109,48,669,39
1499,14,32480,1066,1045,21,0,31
2080,20,57088,2275,2040,235,0,28
1782,17,10551,1712,1534,178,0,7
0562,05,21191,1215,1055,160,0,20
0482,04,16425,826,718,108,0,23
1763,17,11335,397,348,49,0,33
1439,14,6500,618,589,29,0,11
2026,20,10066,812,767,45,0,13
0662,06,29116,1221,1137,84,0,26
0461,04,10604,538,461,77,0,23
0617,06,9510,450,421,30,0,23
0980,09,57455,15242,3135,32,12074,18
1764,17,8937,479,386,48,0,23
1444,14,5631,281,265,1,0,21
1447,14,5241,555,315,69,0,17
2523,25,18153,16818,15691,1127,0,1
2180,21,98970,3200,1614,169,1417,61
