itemID,itemName,isExpensive,priceGroup,Category,isFashionCat,isSportsCat,isElectronicsCat
1,Klapp1,FALSE,2,Furniture,FALSE,TRUE,FALSE
2,Klapp2,FALSE,1,Electronics,TRUE,FALSE,FALSE
3,Klapp3,TRUE,4,Sports,TRUE,FALSE,FALSE
4,Klapp4,FALSE,2,Kitchen,TRUE,FALSE,FALSE
5,Klapp5,FALSE,2,Sports,FALSE,FALSE,TRUE
6,Klapp6,FALSE,3,Electronics,FALSE,FALSE,FALSE
7,Klapp7,FALSE,3,Electronics,FALSE,TRUE,TRUE
8,Klapp8,FALSE,5,Furniture,TRUE,TRUE,FALSE
9,Klapp9,TRUE,5,Furniture,FALSE,TRUE,TRUE
10,Klapp10,FALSE,2,Furniture,TRUE,TRUE,TRUE
11,Klapp11,TRUE,4,Electronics,FALSE,FALSE,TRUE
12,Klapp12,FALSE,4,Furniture,FALSE,FALSE,TRUE
13,Klapp13,TRUE,5,Electronics,TRUE,TRUE,TRUE
14,Klapp14,TRUE,1,Sports,FALSE,FALSE,FALSE
15,Klapp15,FALSE,4,Furniture,FALSE,FALSE,FALSE
16,Klapp16,FALSE,5,Electronics,FALSE,FALSE,TRUE
17,Klapp17,FALSE,4,Sports,TRUE,FALSE,TRUE
18,Klapp18,FALSE,5,Electronics,TRUE,FALSE,FALSE
19,Klapp19,TRUE,5,Furniture,FALSE,FALSE,TRUE
20,Klapp20,FALSE,3,Kitchen,TRUE,TRUE,FALSE
21,Klapp21,TRUE,4,Sports,FALSE,TRUE,TRUE
22,Klapp22,FALSE,5,Kitchen,TRUE,TRUE,FALSE
23,Klapp23,FALSE,4,Sports,TRUE,TRUE,FALSE
24,Klapp24,FALSE,1,Sports,FALSE,TRUE,TRUE
25,Klapp25,FALSE,4,Electronics,FALSE,TRUE,FALSE
26,Klapp26,TRUE,4,Sports,FALSE,FALSE,TRUE
