itemURL,itemPicture,itemID,itemName,description,price
http://www.coolstuff.se/Popcornmaskin-Cinema-Style,5d1cc1bec6dacd27535fdce4b59f9627.jpg,1,Popcornmaskin Cinema Style ,"Med vår biografstylade popcornmaskin finns alltid en näve färska popcorn hemma, liksom en snygg köksapparat som får - nej, ska! - stå mitt i bild.",599
http://www.coolstuff.se/Kitchen-Safe,c101f47a67552b9f39f055497ad59321.jpg,2,Kitchen Safe ,"Som ett kassaskåp med timerfunktion, perfekt för kakor, fjärrkontroller och annat som lätt distraherar dig. Lås in och koppla av, för ingen annan kommer åt grejerna medan de ligger i Kitchen Safe.",499
https://www.liveit.se/upplevelser/upplevelsepresenter-massage,fjeiaoabeu.jpg,3,Massage,Unna dig själv eller en vän en klassisk massage. En massagebehandling kan vara enbart en stund för avslappning och återhämtning eller innehålla behandlande moment som tryck och stretching. Man väljer själv inriktning i samråd med massören.,445
https://hittajulklappar.nu/p/sko-lampa/,fewngndvghdksfjewmkldwg.png,4,Sko-lampa,Sko-lampan är en lysande uppfinning för alla som vill synas tydligt ute i mörkret under ambitiösa joggingturer.,195
http://www.bokus.com/bok/9789187441851/tid-livet-ar-inte-kronologiskt/,9789187441851_200_tid-livet-ar-inte-kronologiskt.jpeg,5,Tid : livet är inte kronologiskt,"Tiden är ett tema som Alex Schulman och Sigge Eklund ständigt återkommer till i krönikor, på middagar med vänner och i sin podcast som är Sveriges mest populära med mer än en halv miljon lyssnare.",188
http://www.bokus.com/bok/9780133564242/core-html5-2d-game-programming/,9780133564242_200_core-html5-2d-game-programming_haftad.jpeg,6,Core HTML5 2D Game Programming,"Game programming offers a wealth of creative and business opportunities, and its never been more accessible. In Core HTML5 2D Game Programming, best-selling author David Geary shows you how to use freely available browser tools and open source resources to create video games that run in desktop browsers and on mobile devices.",295
http://www.coolstuff.se/Portabel-Hangmatta,4fa35e3a0db2af8c2113a254dc7a117b.jpg,7,Portabel Hängmatta ,Hängmatta med stativ för lata dagar! Tar mindre än 1 minut att fälla upp eller ner. Packa ner det i medföljande bärväska och ta med dig vart du vill!,695
http://www.coolstuff.se/SleepPhones,b3f3ae9f29b015c38e296c777d967eec.jpg,8,SleepPhones ,Stäng ute snarkningar och annat störande. Lyssna på musik utan att irritera sängpartnern. SleepPhones – bekväma hörlurar för sängen.,349
http://www.prisjakt.nu/produkt.php?p=3099186,3099186.jpg,9,Star Wars: Battlefront,"Star Wars: Battlefront ett riktigt vackert, och förvånansvärt lättdrivet, spel som fångar Star Wars-atmosfären på ett imponerande vis. Med Europalanseringen alldeles runt hörnet kan vi nu bara sätta oss ner och vänta på anstormningen av spelare och deras intryck av DICE senaste skapelse.",429
http://www.coolstuff.se/Herb-Savor-Ortforvaring,2bcbc30dadd10e7ae78bd28478034222.jpg,10,Herb Savor ,"Örtförvaring Klipp dina örter ur krukan, ställ dem i Herb Savor, vattna lite, placera i kylskåp och du kryddar din mat med de fräschaste av örter i flera veckor.",295
