Kommunkod,Lanskod,M proc,C proc,FP proc,KD proc,S proc,V proc,MP proc,SD proc,FI proc,Rostande,Valdelt,Max proc,Parti
0114,01,0.20,0.06,0.07,0.05,0.32,0.07,0.09,0.11,0.03,1020,0.8038,0.32,S
0114,01,0.27,0.04,0.06,0.04,0.31,0.05,0.09,0.09,0.03,929,0.8618,0.31,S
0114,01,0.22,0.03,0.06,0.03,0.33,0.08,0.10,0.11,0.03,898,0.8323,0.33,S
0114,01,0.27,0.04,0.05,0.04,0.33,0.05,0.08,0.10,0.03,1351,0.8329,0.33,S
0114,01,0.32,0.05,0.07,0.05,0.24,0.04,0.06,0.15,0.01,802,0.8243,0.32,M
0114,01,0.26,0.03,0.07,0.04,0.34,0.06,0.07,0.10,0.02,1156,0.8061,0.34,S
0114,01,0.15,0.02,0.04,0.05,0.40,0.10,0.07,0.13,0.03,892,0.736,0.40,S
0114,01,0.18,0.03,0.04,0.02,0.39,0.09,0.07,0.12,0.03,1087,0.7147,0.39,S
0114,01,0.28,0.04,0.06,0.05,0.30,0.05,0.06,0.13,0.02,1028,0.7963,0.30,S
0114,01,0.28,0.03,0.07,0.04,0.28,0.08,0.08,0.09,0.03,1023,0.7809,0.28,S
0114,01,0.33,0.05,0.05,0.04,0.26,0.05,0.07,0.12,0.02,948,0.7893,0.33,M
0114,01,0.37,0.04,0.08,0.05,0.24,0.03,0.06,0.10,0.01,956,0.8408,0.37,M
0114,01,0.20,0.03,0.06,0.05,0.33,0.06,0.10,0.11,0.05,454,0,0.33,S
0114,01,0.20,0.02,0.04,0.03,0.38,0.07,0.09,0.12,0.02,1165,0.7877,0.38,S
0114,01,0.42,0.04,0.07,0.06,0.24,0.04,0.05,0.07,0.02,1051,0.896,0.42,M
0114,01,0.13,0.02,0.03,0.03,0.50,0.10,0.07,0.08,0.02,1055,0.6923,0.50,S
0114,01,0.14,0.01,0.03,0.02,0.42,0.11,0.07,0.15,0.03,1032,0.7078,0.42,S
0114,01,0.19,0.03,0.04,0.04,0.39,0.08,0.05,0.15,0.02,1228,0.7917,0.39,S
0114,01,0.43,0.06,0.12,0.07,0.14,0.02,0.06,0.08,0.02,1307,0.8891,0.43,M
