Kommunkod,Kon,Aldersgrupp,Tillgangar2007,Average,AboveAvg
0114,man,-19,1,634,0
0114,man,20-29,170,634,0
0114,man,30-49,819,634,1
0114,man,50-64,1167,634,1
0114,man,65-74,1315,634,1
0114,man,75+,956,634,1
0114,woman,-19,1,534,0
0114,woman,20-29,189,534,0
0114,woman,30-49,751,534,1
0114,woman,50-64,992,534,1
0114,woman,65-74,756,534,1
0114,woman,75+,501,534,0
0114,total,-19,1,584,0
0114,total,20-29,180,584,0
0114,total,30-49,786,584,1
0114,total,50-64,1077,584,1
0114,total,65-74,1020,584,1
0114,total,75+,683,584,1
0115,man,-19,2,935,0
0115,man,20-29,339,935,0
0115,man,30-49,1340,935,1
0115,man,50-64,1730,935,1
0115,man,65-74,1774,935,1
0115,man,75+,1403,935,1
0115,woman,-19,2,823,0
0115,woman,20-29,432,823,0
0115,woman,30-49,1292,823,1
0115,woman,50-64,1353,823,1
0115,woman,65-74,1180,823,1
0115,woman,75+,854,823,1
0115,total,-19,2,879,0
0115,total,20-29,383,879,0
0115,total,30-49,1315,879,1
0115,total,50-64,1542,879,1
0115,total,65-74,1473,879,1
0115,total,75+,1080,879,1
0117,man,-19,2,992,0
0117,man,20-29,307,992,0
0117,man,30-49,1426,992,1
0117,man,50-64,1724,992,1
0117,man,65-74,1807,992,1
0117,man,75+,1250,992,1
0117,woman,-19,6,845,0
0117,woman,20-29,322,845,0
0117,woman,30-49,1274,845,1
0117,woman,50-64,1465,845,1
0117,woman,65-74,1272,845,1
0117,woman,75+,699,845,0
0117,total,-19,4,918,0
0117,total,20-29,314,918,0
0117,total,30-49,1349,918,1
0117,total,50-64,1594,918,1
0117,total,65-74,1543,918,1
0117,total,75+,929,918,1
0120,man,-19,14,1221,0
0120,man,20-29,427,1221,0
0120,man,30-49,1660,1221,1
0120,man,50-64,2237,1221,1
0120,man,65-74,2186,1221,1
0120,man,75+,1787,1221,1
0120,woman,-19,6,1013,0
0120,woman,20-29,459,1013,0
0120,woman,30-49,1499,1013,1
0120,woman,50-64,1754,1013,1
0120,woman,65-74,1572,1013,1
0120,woman,75+,1166,1013,1
0120,total,-19,10,1118,0
0120,total,20-29,442,1118,0
0120,total,30-49,1578,1118,1
0120,total,50-64,2007,1118,1
0120,total,65-74,1902,1118,1
0120,total,75+,1430,1118,1
0123,man,-19,3,771,0
0123,man,20-29,314,771,0
0123,man,30-49,996,771,1
0123,man,50-64,1347,771,1
0123,man,65-74,1490,771,1
0123,man,75+,1253,771,1
0123,woman,-19,2,694,0
0123,woman,20-29,289,694,0
0123,woman,30-49,961,694,1
0123,woman,50-64,1207,694,1
0123,woman,65-74,1047,694,1
0123,woman,75+,767,694,1
0123,total,-19,2,732,0
0123,total,20-29,302,732,0
0123,total,30-49,978,732,1
0123,total,50-64,1275,732,1
0123,total,65-74,1258,732,1
0123,total,75+,968,732,1
0125,man,-19,3,1180,0
0125,man,20-29,204,1180,0
0125,man,30-49,1660,1180,1
0125,man,50-64,2197,1180,1
0125,man,65-74,2287,1180,1
0125,man,75+,1698,1180,1
0125,woman,-19,3,1036,0
0125,woman,20-29,350,1036,0
0125,woman,30-49,1484,1036,1
0125,woman,50-64,1826,1036,1
0125,woman,65-74,1930,1036,1
0125,woman,75+,1015,1036,0
0125,total,-19,3,1108,0
0125,total,20-29,275,1108,0
0125,total,30-49,1569,1108,1
0125,total,50-64,2013,1108,1
0125,total,65-74,2113,1108,1
0125,total,75+,1300,1108,1
0126,man,-19,3,759,0
0126,man,20-29,221,759,0
0126,man,30-49,1079,759,1
0126,man,50-64,1395,759,1
0126,man,65-74,1486,759,1
0126,man,75+,1243,759,1
0126,woman,-19,2,674,0
0126,woman,20-29,230,674,0
0126,woman,30-49,1046,674,1
0126,woman,50-64,1196,674,1
0126,woman,65-74,1017,674,1
0126,woman,75+,755,674,1
0126,total,-19,3,716,0
0126,total,20-29,225,716,0
0126,total,30-49,1063,716,1
0126,total,50-64,1296,716,1
0126,total,65-74,1244,716,1
0126,total,75+,949,716,1
0127,man,-19,1,455,0
0127,man,20-29,153,455,0
0127,man,30-49,604,455,1
0127,man,50-64,872,455,1
0127,man,65-74,986,455,1
0127,man,75+,787,455,1
0127,woman,-19,1,410,0
0127,woman,20-29,154,410,0
0127,woman,30-49,601,410,1
0127,woman,50-64,766,410,1
0127,woman,65-74,714,410,1
0127,woman,75+,473,410,1
0127,total,-19,1,433,0
0127,total,20-29,153,433,0
0127,total,30-49,603,433,1
0127,total,50-64,819,433,1
0127,total,65-74,848,433,1
0127,total,75+,599,433,1
0128,man,20-29,193,679,0
0128,man,30-49,993,679,1
0128,man,50-64,1224,679,1
0128,man,65-74,1401,679,1
0128,man,75+,1080,679,1
0128,woman,-19,2,604,0
0128,woman,20-29,271,604,0
0128,woman,30-49,939,604,1
0128,woman,50-64,1009,604,1
0128,woman,65-74,971,604,1
0128,woman,75+,727,604,1
0128,total,-19,1,641,0
0128,total,20-29,231,641,0
0128,total,30-49,966,641,1
0128,total,50-64,1112,641,1
0128,total,65-74,1177,641,1
0128,total,75+,880,641,1
0136,man,-19,2,727,0
0136,man,20-29,243,727,0
0136,man,30-49,866,727,1
0136,man,50-64,1200,727,1
0136,man,65-74,2223,727,1
0136,man,75+,1035,727,1
0136,woman,-19,2,587,0
0136,woman,20-29,263,587,0
0136,woman,30-49,849,587,1
0136,woman,50-64,1055,587,1
0136,woman,65-74,905,587,1
0136,woman,75+,629,587,1
0136,total,-19,2,657,0
0136,total,20-29,253,657,0
0136,total,30-49,857,657,1
0136,total,50-64,1127,657,1
0136,total,65-74,1565,657,1
0136,total,75+,793,657,1
0138,man,-19,4,969,0
0138,man,20-29,262,969,0
0138,man,30-49,1359,969,1
0138,man,50-64,1741,969,1
0138,man,65-74,2016,969,1
0138,man,75+,1575,969,1
